version 1, schema projectiles_explosions_tables
Projectile_Explosion_IDRef(string)	Timer_type(string)	Explosive_x0020_concussion_x0020_type(string)	Concussive_x0020_blast_x0020_area(float)	Effect_duration(float)	unknown5(float)	unknown6(float)	Fragment_reference_x0020__x0023__Projectile_ID(optstring)	Num_of_projectiles_x0020__x0023__Shrapnel(int)	Particle_effects(optstring)	unknown10(float)	unknown11(float)
"carcass_12lb"	"fuse"	"carcass"	50	1	50	0.99	"carcass_fragment"	4	"explode_cone"	20	1
"carcass_24lb"	"fuse"	"carcass"	60	1	50	0.99	"carcass_fragment"	8	"explode_cone"	20	1
"carcass_32lb"	"fuse"	"carcass"	70	1	50	0.99	"carcass_fragment"	5	"explode_cone"	20	1
"carcass_4_mortar"	"fuse"	"carcass"	50	0	40	0.99	"carcass_fragment"	4	"explode_cone"	5	1
"carcass_8_mortar"	"fuse"	"carcass"	60	0	40	0.99	"carcass_fragment"	6	"explode_cone"	10	1
"grenade"	"fuse_grenade"	"shockwave"	0.001	0	5	0	"grenade_fragment"	3	"explode_grenade"	0	1
"grenade_improved"	"fuse_grenade"	"shockwave"	0.001	0	5	0	"grenade_fragment"	3	"explode_grenade"	0	0
"mortar_4_ball"	"percussive"	"shockwave"	50	0	0	5	"airgun"	1	nil	0	0
"mortar_4_shell"	"fuse"	"shockwave"	4	0	20	15	"shell_fragment"	18	"explode_frag_med"	10	0
"mortar_8_shell"	"fuse"	"shockwave"	5	0	20	25	"shell_fragment"	32	"explode_frag_lrg"	15	0
"naval_mortar_shell"	"fuse"	"shockwave"	15	0	20	15	"naval_mortar_shell_fragment"	25	"explode_frag_lrg"	0	0
"quicklime_12lb"	"fuse"	"quicklime"	35	1	20	0.4	"quicklime_fragment"	2	"explode_quicklime_med"	30	1
"quicklime_24lb"	"fuse"	"quicklime"	52	1	20	0.4	"quicklime_fragment"	3	"explode_quicklime_med"	30	1
"quicklime_32lb"	"fuse"	"quicklime"	62	1	20	0.4	"quicklime_fragment"	4	"explode_quicklime_med"	30	1
"quicklime_4_mortar"	"fuse"	"quicklime"	62	2.5	20	0.4	"quicklime_fragment"	5	"explode_quicklime_med"	10	1
"quicklime_8_mortar"	"fuse"	"quicklime"	72	2.5	20	0.4	"quicklime_fragment"	9	"explode_quicklime_med"	10	1
"rocket"	"fuse"	"shockwave"	3	0	20	0.99	"shell_fragment"	15	"explode_frag_med"	2	2
"rocket_naval"	"fuse"	"shockwave"	5	0	20	0.99	"rockets_naval_fragment"	5	"explode_frag_lrg"	5	0
"shell_12lb"	"fuse"	"shockwave"	3	0	20	10	"shell_fragment"	20	"explode_frag_med"	0	1
"shell_18lb"	"fuse"	"shockwave"	4	0	20	10	"shell_fragment"	24	"explode_frag_med"	0	1
"shell_24lb"	"fuse"	"shockwave"	5	0	20	15	"shell_fragment"	25	"explode_frag_lrg"	0	1
"shell_32lb"	"fuse"	"shockwave"	12	0	20	20	"shell_fragment"	32	"explode_frag_lrg"	0	1
"shell_64lb"	"fuse"	"shockwave"	14	0	20	25	"shell_fragment"	36	"explode_frag_lrg"	0	1
"shell_percussive_12lb"	"percussive"	"shockwave"	3	0	20	20	"shell_fragment"	12	"explode_frag_sml"	0	0
"shell_percussive_24lb"	"percussive"	"shockwave"	4	0	20	20	"shell_fragment"	24	"explode_frag_med"	0	0
"shell_percussive_32lb"	"percussive"	"shockwave"	5	0	20	20	"shell_fragment"	32	"explode_frag_lrg"	0	0
"ship_magazine"	"fuse"	"shockwave"	70	0	10	100	"ship_explosion_fragment"	50	"ShipExplosion"	0	0
"ship_magazine_visual"	"fuse"	"shockwave"	70	0	10	0	"ship_explosion_fragment_visual"	10	"ShipExplosion"	0	0
"shrapnel_12lb"	"fuse"	"shockwave"	4	0	10	6	"shrapnel"	45	"explode_frag_sml"	45	0.5
"shrapnel_18lb"	"fuse"	"shockwave"	5	0	10	8	"shrapnel"	50	"explode_frag_med"	45	0.5
"shrapnel_24lb"	"fuse"	"shockwave"	6	0	10	10	"shrapnel"	55	"explode_frag_med"	50	0.5
"shrapnel_32lb"	"fuse"	"shockwave"	7	0	10	12	"shrapnel"	60	"explode_frag_lrg"	55	0.5
"shrapnel_3lb"	"fuse"	"shockwave"	1	0	10	2	"shrapnel"	24	"explode_frag_sml"	45	0.5
"shrapnel_64lb"	"fuse"	"shockwave"	8	0	10	14	"shrapnel"	120	"explode_frag_lrg"	70	0.5
"shrapnel_6lb"	"fuse"	"shockwave"	2	0	10	3	"shrapnel"	25	"explode_frag_sml"	45	0.5
"shrapnel_9lb"	"fuse"	"shockwave"	3	0	10	4	"shrapnel"	35	"explode_frag_med"	45	0.5
