version 1, schema _kv_naval_morale_tables
Key(string)	Value(float)
"kill_and_damage_bonus_12"	5
"kill_and_damage_bonus_5"	2
"kill_and_damage_bonus_7"	3
"ship_broken_finish_base_timeout"	600
"ship_casualty_surrender_threshold"	20
"ship_extended_casualties_penalty_13"	-2
"ship_extended_casualties_penalty_22"	-3
"ship_extended_casualties_penalty_30"	-4
"ship_extended_casualties_penalty_50"	-6
"ship_extended_casualties_penalty_7"	-1
"ship_extended_damage_penalty_10"	-2
"ship_extended_damage_penalty_20"	-4
"ship_extended_damage_penalty_40"	-8
"ship_extended_damage_penalty_5"	-1
"ship_morale_base"	0
"ship_operational_guns_penalty_40"	-4
"ship_operational_guns_penalty_75"	-8
"ship_recent_casualties_penalty_13"	-2
"ship_recent_casualties_penalty_2"	-1
"ship_recent_casualties_penalty_22"	-4
"ship_recent_casualties_penalty_30"	-6
"ship_recent_casualties_penalty_7"	-1
"ship_recent_casualties_shock_threshold"	20
"ship_recent_damage_penalty_10"	-2
"ship_recent_damage_penalty_15"	-3
"ship_recent_damage_penalty_30"	-6
"ship_recent_damage_penalty_6"	-1
"ship_total_casualties_penalty_10"	-2
"ship_total_casualties_penalty_20"	-4
"ship_total_casualties_penalty_40"	-6
"ship_total_casualties_penalty_5"	-1
"ship_total_casualties_penalty_60"	-8
"ship_total_damage_penalty_10"	-2
"ship_total_damage_penalty_20"	-4
"ship_total_damage_penalty_40"	-7
"ship_total_damage_penalty_5"	-1
"ship_total_damage_penalty_60"	-12
"ship_waver_base_timeout"	40
"sme_concerned_admiral_dead"	-2
"sme_concerned_admiral_died_recently"	-4
"sme_concerned_admiral_fled_recently"	-3
"sme_concerned_demasted"	-7
"sme_concerned_frightened"	-6
"sme_concerned_on_fire"	-7
"sme_concerned_panic"	-50
"sme_concerned_rear_attacked"	-4
"sme_concerned_rear_exposed"	-1
"sme_concerned_under_attack"	-2
"sme_encouraged_boarding"	6
"sme_encouraged_inspired"	5
"sme_encouraged_rear_secure"	3
"sms_broken_threshold_lower"	-14
"sms_broken_threshold_upper"	-2
"sms_confident_threshold_lower"	8
"sms_confident_threshold_upper"	20
"sms_eager_threshold_lower"	20
"sms_shaken_threshold_lower"	-3
"sms_shaken_threshold_upper"	2
"sms_steady_threshold_lower"	0
"sms_steady_threshold_upper"	10
"sms_wavering_threshold_lower"	-5
"sms_wavering_threshold_upper"	-1
